Disease,Preventive measures and treatments,,,
Apple___Apple_scab,"	- Plant disease-resistant cultivars such as Akane, Chehalis, Liberty, and Tydeman Red.
- Clean up fallen leaves in the fall to reduce overwintering spores.
- Apply nitrogen fertilizers to enhance leaf decomposition.
- Prune trees for better air circulation.
- Use fungicides like Captan, chlorothalonil, or myclobutanil when conditions are favorable for infection.",,,
Grape___Black_rot," Prune infected Plant parts.
- Apply fungicides like myclobutanil or fenhexamid at the onset of symptoms.
- Ensure proper air circulation around plants to minimize humidity.",,,
Apple___Cedar_apple_rust," Plant resistant varieties.
- Remove cedar trees near apple orchards to reduce spore sources.
- Apply fungicides during the flowering period.",,,
Corn_(maize)___Common_rust_," Rotate crops to prevent recurrence.
- Use resistant corn varieties.
- Apply fungicides at the first sign of disease.",,,
Corn_(maize)___Northern_Leaf_Blight,"Rotate crops to break the disease cycle.
- Use resistant hybrids.
- Apply fungicides when symptoms first appear.",,,
Tomato___Bacterial_spot," Use resistant varieties.
- Practice crop rotation and good sanitation.
- Apply copper-based bactericides at the first sign of disease.",,,
Potato___Early_blight," Rotate crops and practice good sanitation.
- Apply fungicides like chlorothalonil or mancozeb at the first sign of disease.",,,
Tomato___Late_blight," Use resistant varieties.
- Apply fungicides like mefenoxam or copper-based products at the first sign of disease.
- Remove infected plants immediately.",,,
Squash___Powdery_mildew," Ensure good air circulation around plants.
- Apply fungicides like sulfur or myclobutanil at the first sign of powdery mildew.",,,
Strawberry___Leaf_scorch," Improve air circulation and reduce humidity around plants.
- Use mulch to retain soil moisture and reduce stress on plants.",,,
Tomato___Spider_mites,"Use insecticidal soaps or neem oil to control infestations.
- Increase humidity around plants to deter spider mites.",,,
Tomato___Tomato_Yellow_Leaf_Curl_Virus," Use resistant varieties.
- Control aphids, which spread the virus.
- Remove infected plants to reduce spread.",,,
Tomato___Tomato_mosaic_virus,"Use resistant varieties.
- Practice good sanitation and remove infected plants.",,,
Apple___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Apple___Black_rot,"Prune infected Plant parts.
- Apply fungicides like myclobutanil or fenhexamid at the onset of symptoms.
- Ensure proper air circulation around plants to minimize humidity.",,,
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Fungicides sprayed for other diseases in the season may help reduce this disease
-Destroy infected leaves, berries and crop residues
-Protect pruning wounds with fungicides to minimize infection
-Use of an appropriate fungicide on pruning wounds can prevent the fungus from entering the plant
-Fungicide should be applied at time of pruning",,,
Blueberry___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Cherry_(including_sour)___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Cherry_(including_sour)___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
 Corn_(maize)___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
 Grape___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Peach___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
"Pepper,_bell___healthy"," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Potato___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Raspberry___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Soybean___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Strawberry___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Tomato___healthy," Maintain good cultural practices including proper watering, fertilization, and pest management to promote plant health.",,,
Peach___Bacterial_spot," Use resistant varieties.
- Practice crop rotation and good sanitation.
- Apply copper-based bactericides at the first sign of disease.",,,
"Pepper,_bell___Bacterial_spot"," Use resistant varieties.
- Practice crop rotation and good sanitation.
- Apply copper-based bactericides at the first sign of disease.",,,
Tomato___Early_blight,"Rotate crops and practice good sanitation.
- Apply fungicides like chlorothalonil or mancozeb at the first sign of disease.",,,
Potato___Late_blight,"Use resistant varieties.
- Apply fungicides like mefenoxam or copper-based products at the first sign of disease.
- Remove infected plants immediately.",,,
 Two-spotted_spider_mite,"Use insecticidal soaps or neem oil to control infestations.
- Increase humidity around plants to deter spider mites.",,,
Orange___Haunglongbing_(Citrus_greening),"Nutritional Management: Enhance tree nutrition through foliar sprays of readily absorbable nutrients and phytohormones to improve tree health and fruit quality.
Cultural Practices: Remove and destroy infected trees to prevent the spread of the disease. Ensure good orchard sanitation by eliminating potential sources of infection.
Insect Control: Implement intensive chemical control measures to manage the Asian citrus psyllid populations, which are responsible for spreading HLB.
Research and Development: Ongoing research is focused on developing resistant citrus varieties and exploring treatments that can alleviate symptoms, such as the use of antioxidants and growth hormones.
Monitoring and Reporting: Regularly inspect citrus trees for symptoms of HLB and report any findings to agricultural authorities to help control outbreaks.",,,
